id|name|district_id
673|Sumerta Kelod/Klod|55
674|Penatih|55
675|Penatih Dangin Puri|55
676|Kesiman Kertalangu|55
677|Kesiman Petilan|55
678|Sumerta Kauh|55
679|Kesiman|55
680|Dangin Puri Klod|55
681|Sumerta|55
682|Sumerta Kaja|55
683|Dangin Puri Kangin|54
684|Dangin Puri|55
685|Dangin Puri Kauh|54
686|Dangin Puri Kaja|54
687|Serangan|56
688|Sanur Kauh|56
689|Sanur|56
690|Renon|56
691|Sanur Kaja|56
692|Panjer|56
693|Sesetan|56
694|Sidakarya|56
695|Pemogan|56
696|Pedungan|56
697|Pemecutan Klod/Kelod|57
698|Tegal Harum|57
699|Tegal Kertha|57
700|Pemecutan|57
701|Pemecutan Kaja|54
702|Padangsambian Kaja|57
703|Padangsambian Klod/Kelod|57
704|Ubung Kaja|54
705|Padangsambian|57
706|Peguyangan Kangin|54
707|Ubung|54
708|Peguyangan|54
709|Peguyangan Kaja|54
710|Dauh Puri Kauh|57
711|Dauh Puri Klod/Kelod|57
712|Dauh Puri Kangin|57
713|Dauh Puri|57
714|Dauh Puri Kaja|54
715|Tanjung Sangkar|58
716|Tanjung Labu|58
717|Pongok|59
718|Penutuk|58
719|Kumbung|58
720|Celagen|59
721|Tukak|60
722|Toboali|61
723|Tiram|60
724|Teladan|61
725|Tanjung Ketapang|61
726|Serdang|61
727|Sadai|60
728|Rindik|61
729|Rias|61
730|Pasir Putih|60
731|Kepoh|61
732|Kaposang/Keposang|61
733|Jeriji|61
734|Gadung|61
735|Bukit Terap|60
736|Bikang|61
737|Tepus|62
738|Sidoharjo|62
739|Ranggas|62
740|Pergam|62
741|Nangka|62
742|Nyelanding|62
743|Delas|62
744|Bencah|62
745|Air Gegas|62
746|Air Bara|62
747|Sumber Jaya Permai (Trans 4)|63
748|Sukajaya|63
749|Sengir|64
750|Ranggung|64
751|Payung|64
752|Pangkalbuluh|64
753|Panca Tunggal (Trans 3)|63
754|Paku|64
755|Nadung|64
756|Malik|64
757|Irat|64
758|Fajar Indah (Trans 1)|63
759|Bedengung|64
760|Batu Betumpang|63
761|Simpang Rimba|65
762|Sebagin|65
763|Rajik|65
764|Permis|65
765|Jelutung II|65
766|Gudang|65
767|Bangka Kota|65
768|Tanjung Gunung|66
769|Padang Baru|66
770|Pelindang (Selindung)|66
771|Namang|67
772|Mangkol|66
773|Kayu Besi|67
774|Kebintik|66
775|Jeruk|66
776|Jelutung|67
777|Dul|66
778|Cambai Selatan|67
779|Cambai|67
780|Benteng|66
781|Belilik|67
782|Beluluk|66
783|Airmesu|66
784|Batu Belubang|66
785|Air Mesu Timur|66
786|Trubus|68
787|Terentang III|69
788|Simpang Perlang|69
789|Perlang|68
790|Penyak|69
791|Nibung|69
792|Padang Mulya|69
793|Lubuk Pabrik|68
794|Lubuk Besar|68
