id|name|city_id
445|Depok|36
446|Gedong Tengen|37
447|Godean|36
448|Ngampilan|37
449|Wirobrajan|37
450|Tegalrejo|37
451|Jetis|37
452|Gondokusuman|37
453|Danurejan|37
454|Banguntapan|34
455|Sewon|34
456|Kasihan|34
457|Kotagede|37
458|Umbulharjo|37
459|Mergangsan|37
460|Mantrijeron|37
461|Kraton|37
462|Gondomanan|37
463|Pakualaman|37
464|Kepulauan Seribu Utara|38
465|Kepulauan Seribu Selatan|38
466|Penjaringan|39
467|Pademangan|39
468|Tanjung Priok|39
469|Koja|39
470|Kelapa Gading|39
471|Cilincing|39
472|Cakung|40
473|Cipayung|40
474|Ciracas|40
475|Pasar Rebo|40
476|Makasar|40
477|Kramat Jati|40
478|Duren Sawit|40
479|Jatinegara|40
480|Pulo Gadung|40
481|Matraman|40
482|Setia Budi|41
483|Tebet|41
484|Mampang Prapatan|41
485|Pancoran|41
486|Jagakarsa|41
487|Pasar Minggu|41
488|Cilandak|41
489|Pesanggrahan|41
490|Kebayoran Lama|41
491|Kebayoran Baru|41
492|Kalideres|42
493|Cengkareng|42
494|Kembangan|42
495|Kebon Jeruk|42
496|Palmerah|42
497|Grogol Petamburan|42
498|Tambora|42
499|Taman Sari|42
500|Sawah Besar|43
501|Kemayoran|43
502|Cempaka Putih|43
503|Johar Baru|43
504|Senen|43
505|Menteng|43
506|Tanah Abang|43
507|Gambir|43
508|Bone|44
509|Bonepantai|44
510|Bone Raya|44
511|Kabila Bone|44
512|Bulawa|44
513|Suwawa|44
514|Suwawa Timur|44
515|Suwawa Tengah|44
516|Pinogu|44
517|Suwawa Selatan|44
518|Tilongkabila|44
519|Kabila|44
520|Botu Pingge|44
521|Bulango Utara|44
522|Bulango Timur|44
523|Bulango Selatan|44
524|Tapa|44
525|Bulango Ulu|44
526|Monano|45
527|Anggrek|45
528|Biau|45
529|Tolinggula|45
530|Randangan|46
531|Taluditi (Taluduti)|46
532|Lemito|46
533|Wanggarasi|46
534|Popayato Barat|46
535|Popayato|46
536|Popayato Timur|46
537|Marisa|46
538|Batudaa Pantai|47
539|Biluhu|47
540|Bongomeme|47
541|Tabongo|47
542|Dungaliyo|47
543|Batudaa|47
544|Buntulia|46
545|Patilanggio|46
546|Duhiadaa|46
547|Mananggu|48
548|Paguat|46
549|Dengilo|46
550|Botumoita (Botumoito)|48
551|Bilato|47
552|Boliohuto (Boliyohuto)|47
553|Tilamuta|48
554|Dulupi|48
555|Wonosari|48
556|Paguyaman|48
557|Paguyaman Pantai|48
558|Sumalata Timur|45
559|Sumalata|45
560|Atinggola|45
561|Gentuma Raya|45
562|Kwandang|45
563|Tomolito|45
564|Ponelo Kepulauan|45
565|Tibawa|47
566|Limboto|47
567|Limboto Barat|47
568|Tolangohula|47
569|Asparaga|47
570|Telaga Jaya|47
571|Telaga Biru|47
572|Tilango|47
573|Telaga|47
574|Dungingi|498
575|Kota Barat|498
576|Kota Tengah|498
577|Pulubala|47
578|Mootilango|47
579|Sipatana|498
580|Kota Utara|498
581|Dumbo Raya|498
582|Kota Timur|498
583|Hulonthalangi|498
584|Kota Selatan|498
585|Sumay|49
586|Tebo Ilir|49
587|Muara Tabir|49
588|Tengah Ilir|49
589|Tebo Tengah|49
590|Tebo Ulu|49
591|Serai Serumpun|49
592|Rimbo Bujang|49
593|Rimbo Ulu|49
594|Rimbo Ilir|49
595|Mandiangin|50
596|Pauh|50
597|Air Hitam|50
598|Batang Asai|50
599|Pelawan|50
600|Singkut|50
601|Sarolangun|50
602|Bathin VIII (Batin VIII)|50
603|Cermin Nan Gadang|50
604|Limun|50
605|Lembah Masurai|51
606|Sungai Tenang|51
607|Jangkat|51
608|Muara Siau|51
609|Tiang Pumpung|51
610|Pangkalan Jambu|51
611|Sungai Manau|51
612|Renah Pembarap|51
613|Tabir Barat|51
614|Tabir Ulu|51
615|Tabir Selatan|51
616|Tabir Ilir|51
617|Margo Tabir|51
618|Tabir|51
619|Tabir Lintas|51
620|Tabir Timur|51
621|Pamenang Barat|51
622|Pamenang Selatan|51
623|Pamenang|51
624|Renah Pemenang|51
625|Bangko|51
626|Batang Masumai|51
627|Nalo Tantan|51
628|Bangko Barat|51
629|Tanah Sepenggal|52
630|Tanah Sepenggal Lintas|52
631|Pelepat|52
632|Bathin III Ulu|52
633|Rantau Pandan|52
634|VII Koto|49
635|VII Koto Ilir|49
636|Jujuhan|52
637|Jujuhan Ilir|52
638|Tanah Tumbuh|52
639|Bathin II Pelayang|52
640|Pelepat Ilir|52
641|Muko-Muko Batin VII|52
642|Limbur Lubuk Mengkuang|52
643|Bathin II Babeko|52
644|Bathin III|52
645|Pasar Muara Bungo|52
646|Rimbo Tengah|52
647|Bungo Dani|52
648|Batang Merangin|53
649|Bukitkerman|53
650|Gunung Raya|53
651|Keliling Danau|53
652|Danau Kerinci|53
